card_code,variant_label,drive_file_id
KR019,Stamp,1UHNwGZvZwUE-LfenJydBMiS0EUC7We4M
KR019,Stamp Holo,10Ao1fgH2QD1LqPfQo5nU7Yoq3PiPb0RO
KR020,,1r8wp0IRKuwTqWjwtmlKt6YC-oBPbNyca
KR020,Arte 2,195HDcF16--7lPuiAKfuAeDrXfMjoyUtI
KR020,Stamp,1SdHogjREa_homM0TYTGueBnvzKu-ok_I
KR020,Stamp Holo,10a1nLcY-Q3_Skj_t4Xz6whAlbwEIj0GQ
KR021,,1G6orIjg5-HE3OVHzIsW6NZt8KkYYwiu_
KR021,Arte 2,1zy-GpbmNFZ7QGxPrBF8EYG3SW3Ptiy5j
KR021,Stamp,1YSbqjmMa3Maew80BZhQINiCg8BrtknJT
KR021,Stamp Holo,1kLpqnj0qc1SWoR1KlLdYWy7Djag0_M9t
KR022,,1AEawXGCQAd1t-BcfFrg5elzhx2v4rZMl
KR022,Arte 2,1yB2Nd0mQEE6NBgiwT-laOOWaGSDbpzME
KR022,Stamp,1kBl1ilIzsH-62Z-vo544g9MnN_zImPft
KR022,Stamp Holo,11gqBsUdheT5-b13DKowzPTmCn7dEFmaQ
KR023,,1zz8W6zBAsD-vqwVc2QHQ8T7700hRev84
KR023,Stamp,1Ooa-WlnozXunQ4sYPolAgAHYArl3jMyU
KR023,Stamp Holo,1RXMeQcwVD1_ppDGZ3glx4-7qLQ4O5RTi
KR024,,1OxEi-HUOlzoJYL4rGVmLzKQzvtr1W8k-
KR024,Stamp,1WnHZhrE-i23UvqAYzo6PSX2HIUDjHsFG
KR024,Stamp Holo,15t4Kkd4-Hni2tYxwoC9Bi9dHmaCpeeCT
KR025,,1c6j3ol914XCDSrD_h3lawR0vAnYsyk5s
KR025,Stamp,15aVyq-ADz6zQqqjWe8KQyYBl61o-KQuI
KR025,Stamp Holo,1bixM91KvBcMCjO16agjPOEGHGIam7wg7
KR026,,1cyBzZEEdMeam-yHL0M5xFbPBYDnRT7U4
KR026,Stamp,1zKgrKoproqMvZICMLHltb49rq2kMvzdN
KR026,Stamp Holo,1vkIn8nRn7CJmlK-zvzKFN3uejIsRJIDx
KR027,,1wZkGEF9dNU6xnXROypeh4WHaMUFFvgiN
KR027,Stamp,1Gr0uMy_88-_5FGW5fjSrazWKQqPrOUuj
KR027,Stamp Holo,1qCNEu7IhAHO7Ymyj5xiTP1pCUWvu0p0y
KR028,,1ntsuW_ZmpkiaWiFUff1ll5Cc-Wyfs120
KR028,Stamp,1U1ioo5HD3H7Z736UYv1y-DMsJEEBQn4O
KR028,Stamp Holo,1KgSdQLr-SCHgdBC9JaovpsucLjnLPBXo
KR029,,18Ip4WEfXFMM4cd1VQp5xQRuAZsWbjyNn
KR029,Stamp,1fUmuB8EfLbGqFx3iyeI3orYeUynW1Mlr
KR029,Stamp Holo,1HkDgJqqiFhb4Wt7m6xp-v2y2S2c2J3Zc
KR030,,1X-1vFnSMywctmRUK4y3IEH8zVTjt7_Wf
KR030,Stamp,1-T2sofpeyz0mCYk4H6k4MsR6aoTPn-SR
KR030,Stamp Holo,1CsoC0a_G9S8UMf2BPu62XNPtS9T9BaP6
KR031,,1U_bFJzm5RTVnJHYtFVqo-cnIyjVeEfxU
KR031,Stamp,1b0O8BMXQkWslMnnswHJyeq6j3Q8JdfJh
KR031,Stamp Holo,1SiEUlDtdg-oZnqVxjKmr6XlqENvkqW0p
KR032,,1WOqB4cY8fXKNT97670nGxP5C_7gX-1XQ
KR032,Stamp,1aWiIt9JK4ZQcjhkJnZIuVeqbwquT0KKm
KR032,Stamp Holo,1ALjr2KdsjrLLp_syEb9w2aBrQIwqSs06
KR033,,12CNCz7NXRmuWWsXTR4zoCkugAMIICilx
KR033,Stamp,1Va9hyT6m_Eq5vXBmJD4aza5R_7LL14Eh
KR033,Stamp Holo,1b4Dm0kmxSP7QFvOe11bgifeuLZcRacbN
KR034,,10UCf_DqpQ_JJ7oDNS-PczbGpeZ_R78vN
KR034,Stamp,1Mgvaao7jUzXSye_jqBA49WHidaahyrXv
KR034,Stamp Holo,1uciPRGNhg4FrSWB5p52cABtwoaeI8DQQ
KR035,,1puEUV8UddykQGLS7MaviG_MCrngv0Kdt
KR035,Stamp,1t45H1mtH_NnSNvu6k2Pm_xGxE3eKGTS7
KR035,Stamp Holo,19FTsrqmQjejDKX2T5t1cGSU6Ry3eKB6F
KR036,,1A6ejitojN8CKh65ymRPR8lItp9HzxNah
KR036,Stamp,1OZu3-34cQXgK3l5Vgj-1cJn3gz8bV8j0
KR036,Stamp Holo,1MXjxgNFO8S3-OTYN09IzzYqGIRqcOGbC
KR037,,1GCQnH1BOVL-RgRi0Ex78udVMyeml9kMn
KR037,Stamp,1Vnn-2zlGw1r88hOrXBivWGyhsBtqhVDz
KR037,Stamp Holo,1Lk_j9i7YGVvZHkIohOazg6n_AMVq3h7h
KR038,,1Sepau0r8zPjGExOVoWP9RhgccKXN7hMC
KR038,Stamp,11INDJP1NgIZ-OILTOMH0sDH9WszBl-QS
KR038,Stamp Holo,1y8MX2QweFtsRXsCm8XJsimcb_7RZgutZ
KR039,,1OOOZ1gMtqNkvxgTCe2J0d9G9K2hyeuyv
KR039,Stamp,1_TxXycTygTpX9GBFd7Y6V64wdqFKAv71
KR039,Stamp Holo,1w1kGa0qWD9BG4HZOj1FiJKFcgLPcA72u
KR040,,1dWDaLHzpGGBl8sT2f5n-5--p_4p-by-N
KR040,Stamp,1RioBg8ztVBSI_7gEOiNXVKcmwDFkNkEK
KR040,Stamp Holo,1gan6BcKleoLe2_JhX7hJ5OyzRYiT9W7n
KR041,,1Fwi8TjB-na0Vg6Xpnlpf6bwzNp2yJZ_y
KR041,Stamp,1qKsAx7bxFCIA-qCJaQkThVv4fhGyiaon
KR041,Stamp Holo,16MQVC6ahTqKfsxKMD_sTnqGyKtDj48lB
KR042,,1z-YAL0hg9WoXqazKTJ6b51kpJgaa78Cb
KR042,Stamp,1naVnFljPqf9q6Gvs2W-yw-nSodSfpF1_
KR042,Stamp Holo,10rKQAELlU-rs3p6rbzcUpqE6mt0HRGP9
KR043,,1xTKxIcHWTRxZam8JVkM3IElZhdXSDJzz
KR043,Stamp,1-ci5CyqjOKUEP5jf23gtUrUWYAYpbZ9U
KR043,Stamp Holo,1kqjYrpDunt0q8KE3OXWQ7n4kGvNVmZ2H
KR044,,1azcFrzRvwJIb1bnhB7eQQilPM2IMS0Fl
KR044,Stamp,1nMGWD7Xx5geF6G2Wew-df0xub36qyTVL
KR044,Stamp Holo,1SbvKvt5z68njwrftffwlPmGrK0Hs5k8B
KR045,,1A4KpOeKYzT4d8R6BLGe8TcHtp378f98W
KR045,Stamp,1DNTK4rNae8YOF90zU6ZGGapN3zjNxomE
KR045,Stamp Holo,118oS3EyVy35sZyoiVqebC2LMu8xVon91
